TREE_NAMES	Clade	MAG	Total_abundance
TARA_CHLORO_00112	Ochrophytes	mag	657.7414661
TARA_CHLORO_00113	Haptophytes	mag	93.88040694
TARA_CHLORO_00114	Haptophytes	mag	62.83268686
TARA_CHLORO_00115	Haptophytes	mag	85.56135646
TARA_CHLORO_00116	Ochrophytes	mag	88.8577074
TARA_CHLORO_00118	Chlorophytes	mag	1562.196057
TARA_CHLORO_00119	Haptophytes	mag	1419.738749
TARA_CHLORO_00120	Haptophytes	mag	33.42363399
TARA_CHLORO_00122	Ochrophytes	mag	259.2914089
TARA_CHLORO_00124	Chlorophytes	mag	6094.917412
TARA_CHLORO_00125	Ochrophytes	mag	612.0098098
TARA_CHLORO_00126	Ochrophytes	mag	331.9462273
TARA_CHLORO_00127	Ochrophytes	mag	2221.873808
TARA_CHLORO_00128	Ochrophytes	mag	139.7656228
TARA_CHLORO_00129	Ochrophytes	mag	1179.603246
TARA_CHLORO_00130	Ochrophytes	mag	85.12453047
TARA_CHLORO_00131	Ochrophytes	mag	36.11395925
TARA_CHLORO_00132	Ochrophytes	mag	520.0932872
TARA_CHLORO_00133	Ochrophytes	mag	1724.52496
TARA_CHLORO_00134	Ochrophytes	mag	104.9345398
TARA_CHLORO_00135	Ochrophytes	mag	301.536518
TARA_CHLORO_00136	Ochrophytes	mag	1710.21768
TARA_CHLORO_00137	Ochrophytes	mag	311.1284336
TARA_CHLORO_00138	Ochrophytes	mag	74.7520921
TARA_CHLORO_00139	Ochrophytes	mag	33.58306179
TARA_CHLORO_00140	Ochrophytes	mag	129.0760253
TARA_CHLORO_00141	Ochrophytes	mag	52.54428328
TARA_CHLORO_00144	Ochrophytes	mag	23.0538125
TARA_CHLORO_00145	Ochrophytes	mag	325.7339539
TARA_CHLORO_00146	Haptophytes	mag	89.92677329
TARA_CHLORO_00147	Haptophytes	mag	275.0705521
TARA_CHLORO_00148	Haptophytes	mag	1326.313717
TARA_CHLORO_00149	Haptophytes	mag	228.8067495
TARA_CHLORO_00150	Haptophytes	mag	82.22868407
TARA_CHLORO_00151	Haptophytes	mag	34.08422623
TARA_CHLORO_00152	Haptophytes	mag	217.2339459
TARA_CHLORO_00153	Ochrophytes	mag	83.80478993
TARA_CHLORO_00154	Ochrophytes	mag	423.2224871
TARA_CHLORO_00155	Ochrophytes	mag	255.8646152
TARA_CHLORO_00156	Ochrophytes	mag	142.0794612
TARA_CHLORO_00157	Haptophytes	mag	914.3468061
TARA_CHLORO_00158	Leptophytes	mag	105.3634604
TARA_CHLORO_00159	Haptophytes	mag	161.2192862
TARA_CHLORO_00160	Haptophytes	mag	242.1441369
TARA_CHLORO_00161	Haptophytes	mag	79.68857134
